pincode,Districtname,statename,infected,L1-High-Infection-Danger,L2-Moderate-Infection-Danger
122051,Gurgaon,HARYANA,0,0,0
122052,Gurgaon,HARYANA,0,0,0
122101,Gurgaon,HARYANA,0,0,0
122102,Gurgaon,HARYANA,0,0,0
122103,Gurgaon,HARYANA,0,0,0
122104,Gurgaon,HARYANA,0,0,0
122105,Gurgaon,HARYANA,0,0,0
122107,Gurgaon,HARYANA,0,0,0
122108,Gurgaon,HARYANA,0,0,0
122413,Gurgaon,HARYANA,0,0,0
122414,Gurgaon,HARYANA,0,0,0
122502,Gurgaon,HARYANA,0,0,0
122503,Gurgaon,HARYANA,0,0,0
122504,Gurgaon,HARYANA,0,0,0
122505,Gurgaon,HARYANA,0,0,0
122506,Gurgaon,HARYANA,0,0,0
122508,Gurgaon,HARYANA,0,0,0
123001,Mahendragarh,HARYANA,0,0,0
123021,Mahendragarh,HARYANA,0,0,0
123023,Mahendragarh,HARYANA,0,0,0
123024,Mahendragarh,HARYANA,0,0,0
123027,Mahendragarh,HARYANA,0,0,0
123028,Mahendragarh,HARYANA,0,0,0
123029,Mahendragarh,HARYANA,0,0,0
123034,Mahendragarh,HARYANA,0,0,0
123035,Rewari,HARYANA,0,0,0
123101,Rewari,HARYANA,0,0,0
123102,Rewari,HARYANA,0,0,0
123103,Rewari,HARYANA,0,0,0
123106,Rewari,HARYANA,0,0,0
123110,Rewari,HARYANA,0,0,0
123301,Rewari,HARYANA,0,0,0
123302,Rewari,HARYANA,0,0,0
123303,Mahendragarh,HARYANA,0,0,0
123401,Rewari,HARYANA,0,0,0
123411,Rewari,HARYANA,0,0,0
123412,Mahendragarh,HARYANA,0,0,0
123501,Rewari,HARYANA,0,0,0
124001,Rohtak,HARYANA,0,0,0
124010,Rohtak,HARYANA,0,0,0
124021,Rohtak,HARYANA,0,0,0
124022,Rohtak,HARYANA,0,0,0
124102,Jhajjar,HARYANA,0,0,0
124103,Jhajjar,HARYANA,0,0,0
124104,Jhajjar,HARYANA,0,0,0
124105,Jhajjar,HARYANA,0,0,0
124106,Jhajjar,HARYANA,0,0,0
124107,Jhajjar,HARYANA,0,0,0
124108,Jhajjar,HARYANA,0,0,0
124109,Jhajjar,HARYANA,0,0,0
124111,Rohtak,HARYANA,0,0,0
124112,Rohtak,HARYANA,0,0,0
124113,Rohtak,HARYANA,0,0,0
124141,Rohtak,HARYANA,0,0,0
124142,Jhajjar,HARYANA,0,0,0
124146,Jhajjar,HARYANA,0,0,0
124201,Jhajjar,HARYANA,0,0,0
124202,Jhajjar,HARYANA,0,0,0
124303,Rohtak,HARYANA,0,0,0
124401,Rohtak,HARYANA,0,0,0
124404,Jhajjar,HARYANA,0,0,0
124406,Rohtak,HARYANA,0,0,0
124411,Rohtak,HARYANA,0,0,0
124412,Rohtak,HARYANA,0,0,0
124501,Jhajjar,HARYANA,0,0,0
124504,Jhajjar,HARYANA,0,0,0
124505,Jhajjar,HARYANA,0,0,0
124506,Jhajjar,HARYANA,0,0,0
124507,Jhajjar,HARYANA,0,0,0
124508,Jhajjar,HARYANA,0,0,0
124513,Rohtak,HARYANA,0,0,0
124514,Rohtak,HARYANA,0,0,0
125001,Hisar,HARYANA,0,0,0
125004,Hisar,HARYANA,0,0,0
125005,Hisar,HARYANA,0,0,0
125006,Hisar,HARYANA,0,0,0
125007,Hisar,HARYANA,0,0,0
125011,Hisar,HARYANA,0,0,0
125033,Hisar,HARYANA,0,0,0
125037,Hisar,HARYANA,0,0,0
125038,Hisar,HARYANA,0,0,0
125039,Hisar,HARYANA,0,0,0
125042,Hisar,HARYANA,0,0,0
125044,Hisar,HARYANA,0,0,0
125047,Hisar,HARYANA,0,0,0
125048,Fatehabad,HARYANA,0,0,0
125049,Hisar,HARYANA,0,0,0
125050,Fatehabad,HARYANA,0,0,0
125051,Fatehabad,HARYANA,0,0,0
125052,Fatehabad,HARYANA,0,0,0
125053,Fatehabad,HARYANA,0,0,0
125054,Sirsa,HARYANA,0,0,0
125055,Sirsa,HARYANA,0,0,0
125058,Sirsa,HARYANA,0,0,0
125060,Sirsa,HARYANA,0,0,0
125075,Sirsa,HARYANA,0,0,0
125076,Sirsa,HARYANA,0,0,0
125077,Sirsa,HARYANA,0,0,0
125078,Sirsa,HARYANA,0,0,0
125101,Sirsa,HARYANA,0,0,0
125102,Sirsa,HARYANA,0,0,0
125103,Sirsa,HARYANA,0,0,0
125104,Sirsa,HARYANA,0,0,0
125106,Fatehabad,HARYANA,0,0,0
125110,Sirsa,HARYANA,0,0,0
125111,Fatehabad,HARYANA,0,0,0
125112,Hisar,HARYANA,0,0,0
125113,Fatehabad,HARYANA,0,0,0
125120,Fatehabad,HARYANA,0,0,0
125121,Hisar,HARYANA,0,0,0
125133,Fatehabad,HARYANA,0,0,0
125201,Sirsa,HARYANA,0,0,0
126101,Jind,HARYANA,0,0,0
126102,Jind,HARYANA,0,0,0
126110,Jind,HARYANA,0,0,0
126111,Jind,HARYANA,0,0,0
126112,Jind,HARYANA,0,0,0
126113,Jind,HARYANA,0,0,0
126114,Jind,HARYANA,0,0,0
126115,Jind,HARYANA,0,0,0
126116,Jind,HARYANA,0,0,0
126125,Jind,HARYANA,0,0,0
126152,Jind,HARYANA,0,0,0
127021,Bhiwani,HARYANA,0,0,0
127022,Bhiwani,HARYANA,0,0,0
127025,Bhiwani,HARYANA,0,0,0
127026,Bhiwani,HARYANA,0,0,0
127027,Bhiwani,HARYANA,0,0,0
127028,Bhiwani,HARYANA,0,0,0
127029,Bhiwani,HARYANA,0,0,0
127030,Bhiwani,HARYANA,0,0,0
127031,Bhiwani,HARYANA,0,0,0
127032,Bhiwani,HARYANA,0,0,0
127035,Bhiwani,HARYANA,0,0,0
127040,Bhiwani,HARYANA,0,0,0
127041,Bhiwani,HARYANA,0,0,0
127042,Bhiwani,HARYANA,0,0,0
127043,Bhiwani,HARYANA,0,0,0
127045,Bhiwani,HARYANA,0,0,0
127046,Bhiwani,HARYANA,0,0,0
127111,Bhiwani,HARYANA,0,0,0
127114,Bhiwani,HARYANA,0,0,0
127201,Bhiwani,HARYANA,0,0,0
127306,Bhiwani,HARYANA,0,0,0
127307,Bhiwani,HARYANA,0,0,0
127308,Bhiwani,HARYANA,0,0,0
127309,Bhiwani,HARYANA,0,0,0
127310,Bhiwani,HARYANA,0,0,0
131001,Sonipat,HARYANA,0,0,0
131021,Sonipat,HARYANA,0,0,0
131022,Sonipat,HARYANA,0,0,0
131023,Sonipat,HARYANA,0,0,0
131024,Sonipat,HARYANA,0,0,0
131027,Sonipat,HARYANA,0,0,0
131028,Sonipat,HARYANA,0,0,0
131029,Sonipat,HARYANA,0,0,0
131039,Sonipat,HARYANA,0,0,0
131101,Sonipat,HARYANA,0,0,0
